"Source","Target","Source.level","Target.level","Label","Parent.Label","Colour","DSource","Unit","GEO","X2017","X2016","X2015","X2014","X2013","X2012","X2011","X2010"
"Domestic Input","Electricity and heat generation","Availability","Processing","Bioenergy solid","Biomass","#66c2a5","nrg_bal_sd","kt","EU27_2020",55884.15036,54423.79452,53176.75614,52289.36388,51997.12524,51249.78144,45487.90728,45870.5808
"Refinery, direct carry over and other","Exports","Processing","Backflows","Bioenergy liquid","Biomass","#66c2a5","nrg_bal_sd","kt","EU27_2020",7196.90425174825,6511.98671328671,5892.65261538462,6349.29683916084,4913.29275524476,3818.7714965035,3507.54293706294,3053.82654545455
"Domestic Input","Material industry","Availability","Processing","Bioenergy liquid","Biomass","#66c2a5","nrg_bal_sd","kt","EU27_2020",221.441706293706,182.794321678322,121.700223776224,118.479608391608,88.4205314685315,80.4177902097902,84.4191608391609,118.186825174825
"Refinery, direct carry over and other","Residential housing and other energy","Processing","Services","Bioenergy liquid","Biomass","#66c2a5","nrg_bal_sd","kt","EU27_2020",517.835916083916,427.561090909091,313.180447552448,304.982517482517,281.55986013986,279.510377622378,264.28565034965,330.06427972028
"Refinery, direct carry over and other","Transport","Processing","Services","Bioenergy liquid","Biomass","#66c2a5","nrg_bal_sd","kt","EU27_2020",13358.527048951,12255.3198881119,12573.3800559441,12563.6206153846,11643.7933426573,13103.2200839161,12314.2669090909,11694.5424335664
"Domestic Input","Refinery, direct carry over and other","Availability","Processing","Bioenergy liquid","Biomass","#66c2a5","nrg_bal_sd","kt","EU27_2020",8397.60822377622,7313.82234965035,6637.7859020979,7099.99300699301,5498.7615944056,4430.20044755245,4413.12142657343,4158.9855944056
"Refinery, direct carry over and other","Energy industry (consumption and losses)","Processing","Outflows","Bioenergy liquid","Biomass","#66c2a5","nrg_bal_sd","kt","EU27_2020",44.1126713286713,52.6033846153846,36.6954965034965,37.8666293706294,33.9628531468531,15.4199160839161,12.7848671328671,16.2006713286713
"Domestic Input","Electricity and heat generation","Availability","Processing","Bioenergy liquid","Biomass","#66c2a5","nrg_bal_sd","kt","EU27_2020",985.801090909091,1046.01683916084,1085.73776223776,983.654013986014,925.194965034965,778.412979020979,706.778685314685,1089.05597202797
"Refinery, direct carry over and other","Energy industry (consumption and losses)","Processing","Outflows","Bioenergy gaseos","Biomass","#66c2a5","nrg_bal_sd","kt","EU27_2020",70.589448,73.101528,77.03712,78.963048,84.322152,88.76016,93.951792,99.143424
"Domestic Input","Material industry","Availability","Processing","Bioenergy gaseos","Biomass","#66c2a5","nrg_bal_sd","kt","EU27_2020",323.137224,278.924616,259.916544,262.428624,242.918136,189.745776,284.367456,257.320728
"Refinery, direct carry over and other","Residential housing and other energy","Processing","Services","Bioenergy gaseos","Biomass","#66c2a5","nrg_bal_sd","kt","EU27_2020",1727.976096,1698.249816,1535.969448,1445.618304,1321.270344,1169.37324,970.751448,872.9478
"Refinery, direct carry over and other","Transport","Processing","Services","Bioenergy gaseos","Biomass","#66c2a5","nrg_bal_sd","kt","EU27_2020",125.604,110.615256,106.595928,102.911544,97.636176,82.312488,59.201352,23.194872
"Domestic Input","Refinery, direct carry over and other","Availability","Processing","Bioenergy gaseos","Biomass","#66c2a5","nrg_bal_sd","kt","EU27_2020",2706.431256,2612.479464,2420.80776,2347.53876,2240.942832,1939.32576,1728.897192,1514.030616
"Refinery, direct carry over and other","Energy industry (consumption and losses)","Processing","Outflows","Bioenergy gaseos","Biomass","#66c2a5","nrg_bal_sd","kt","EU27_2020",459.040752,451.588248,441.28872,457.533504,494.87976,409.217832,320.625144,261.423792
"Domestic Input","Electricity and heat generation","Availability","Processing","Bioenergy gaseos","Biomass","#66c2a5","nrg_bal_sd","kt","EU27_2020",8717.33628,8634.43764,8523.738648,8217.348624,7679.42856,6665.636808,5520.379536,4337.357328
"Domestic Extraction","Domestic Input","Sourcing","Availability","Hydropower","Renewables","#e78ac3","nrg_bal_sd","kt","EU27_2020",0.00010596455856,0.0001244128554,0.00012095581464,0.00013321811448,0.00013248542448,0.00011940251184,0.00011067345252,0.00013440088548
"Domestic Input","Electricity and heat generation","Availability","Processing","Hydropower","Renewables","#e78ac3","nrg_bal_sd","kt","EU27_2020",0.00010596455856,0.0001244128554,0.00012095581464,0.00013321811448,0.00013248542448,0.00011940251184,0.00011067345252,0.00013440088548
"Domestic Input","Material industry","Availability","Processing","Geothermal","Renewables","#a6d854","nrg_bal_sd","kt","EU27_2020",2.0934e-08,2.93076e-08,1.507248e-08,1.423512e-08,1.632852e-08,1.716588e-08,2.30274e-08,2.72142e-08
"Refinery, direct carry over and other","Residential housing and other energy","Processing","Services","Geothermal","Renewables","#a6d854","nrg_bal_sd","kt","EU27_2020",2.1582954e-06,2.0075706e-06,1.8673128e-06,1.85391504e-06,1.95774768e-06,1.87275564e-06,1.82711952e-06,1.73082312e-06
"Domestic Input","Refinery, direct carry over and other","Availability","Processing","Geothermal","Renewables","#a6d854","nrg_bal_sd","kt","EU27_2020",2.18048544e-06,2.03813424e-06,1.88364132e-06,1.8694062e-06,1.978263e-06,1.89787644e-06,1.85810184e-06,1.76431752e-06
"Refinery, direct carry over and other","Energy industry (consumption and losses)","Processing","Outflows","Geothermal","Renewables","#a6d854","nrg_bal_sd","kt","EU27_2020",1.25604e-09,1.25604e-09,1.25604e-09,1.25604e-09,2.0934e-09,1.67472e-09,1.67472e-09,6.2802e-09
"Domestic Extraction","Domestic Input","Sourcing","Availability","Geothermal","Renewables","#a6d854","nrg_bal_sd","kt","EU27_2020",2.835175356e-05,2.803816224e-05,2.722341096e-05,2.591461728e-05,2.491104132e-05,2.390620932e-05,2.423822256e-05,2.299892976e-05
"Domestic Input","Electricity and heat generation","Availability","Processing","Geothermal","Renewables","#a6d854","nrg_bal_sd","kt","EU27_2020",2.617126812e-05,2.6000028e-05,2.533976964e-05,2.40447924e-05,2.293277832e-05,2.200833288e-05,2.238012072e-05,2.123461224e-05
"Domestic Extraction","Domestic Input","Sourcing","Availability","Windpower","Renewables","#e78ac3","nrg_bal_sd","kt","EU27_2020",0.00011243190852,9.605230956e-05,9.47535642e-05,8.004826656e-05,7.541096688e-05,6.748577316e-05,5.952499164e-05,5.034333924e-05
"Domestic Input","Electricity and heat generation","Availability","Processing","Windpower","Renewables","#e78ac3","nrg_bal_sd","kt","EU27_2020",0.00011243190852,9.605230956e-05,9.47535642e-05,8.004826656e-05,7.541096688e-05,6.748577316e-05,5.952499164e-05,5.034333924e-05
"Domestic Input","Material industry","Availability","Processing","Solar thermal","Renewables","#a6d854","nrg_bal_sd","kt","EU27_2020",6.782616e-08,6.405804e-08,6.112728e-08,5.819652e-08,5.317236e-08,4.856688e-08,4.39614e-08,4.1868e-08
"Refinery, direct carry over and other","Residential housing and other energy","Processing","Services","Solar thermal","Renewables","#a6d854","nrg_bal_sd","kt","EU27_2020",9.08786808e-06,8.8257744e-06,8.61141024e-06,8.15714244e-06,7.6681242e-06,7.32564396e-06,6.91366284e-06,6.21069912e-06
"Domestic Input","Refinery, direct carry over and other","Availability","Processing","Solar thermal","Renewables","#a6d854","nrg_bal_sd","kt","EU27_2020",9.25324668e-06,8.98529148e-06,8.76548448e-06,8.30535516e-06,7.80921936e-06,7.45962156e-06,7.04261628e-06,6.27266376e-06
"Refinery, direct carry over and other","Energy industry (consumption and losses)","Processing","Outflows","Solar thermal","Renewables","#a6d854","nrg_bal_sd","kt","EU27_2020",4.1868e-10,4.1868e-10,4.1868e-10,4.1868e-10,4.1868e-10,4.1868e-10,4.1868e-10,4.1868e-10
"Domestic Extraction","Domestic Input","Sourcing","Availability","Solar thermal","Renewables","#a6d854","nrg_bal_sd","kt","EU27_2020",1.911022992e-05,1.83088764e-05,1.806855408e-05,1.735763544e-05,1.571012964e-05,1.371302604e-05,9.20007432e-06,7.54545096e-06
"Domestic Input","Electricity and heat generation","Availability","Processing","Solar thermal","Renewables","#a6d854","nrg_bal_sd","kt","EU27_2020",9.85740192e-06,9.32316624e-06,9.30348828e-06,9.05228028e-06,7.90091028e-06,6.25340448e-06,2.15745804e-06,1.2727872e-06
"Domestic Extraction","Domestic Input","Sourcing","Availability","Solar power","Renewables","#e78ac3","nrg_bal_sd","kt","EU27_2020",3.673749528e-05,3.436399836e-05,3.429533484e-05,3.19369104e-05,2.856067488e-05,2.39045346e-05,1.631847168e-05,8.0868042e-06
"Domestic Input","Electricity and heat generation","Availability","Processing","Solar power","Renewables","#e78ac3","nrg_bal_sd","kt","EU27_2020",3.673749528e-05,3.436399836e-05,3.429533484e-05,3.19369104e-05,2.856067488e-05,2.39045346e-05,1.631847168e-05,8.0868042e-06
"Refinery, direct carry over and other","Exports","Processing","Backflows","Other renewable energy","Renewables","#e78ac3","nrg_bal_sd","kt","EU27_2020",2.3320476e-07,1.821258e-07,2.7339804e-07,2.6460576e-07,2.8595844e-07,3.5252856e-07,2.5665084e-07,2.3404212e-07
"Domestic Input","Material industry","Availability","Processing","Other renewable energy","Renewables","#e78ac3","nrg_bal_sd","kt","EU27_2020",3.55878e-08,3.475044e-08,3.475044e-08,3.475044e-08,3.475044e-08,3.098232e-08,3.098232e-08,3.098232e-08
"Refinery, direct carry over and other","Residential housing and other energy","Processing","Services","Other renewable energy","Renewables","#e78ac3","nrg_bal_sd","kt","EU27_2020",1.56460716e-06,1.48380192e-06,1.63871352e-06,1.5721434e-06,1.55832696e-06,1.64708712e-06,1.4381658e-06,1.4172318e-06
"Domestic Input","Refinery, direct carry over and other","Availability","Processing","Other renewable energy","Renewables","#e78ac3","nrg_bal_sd","kt","EU27_2020",1.5407424e-06,1.40634612e-06,1.59600816e-06,1.51520292e-06,1.50138648e-06,1.63745748e-06,1.3586166e-06,1.31758596e-06
"Imports","Domestic Input","Sourcing","Availability","Other renewable energy","Renewables","#e78ac3","nrg_bal_sd","kt","EU27_2020",1.538649e-06,1.40634612e-06,1.59600816e-06,1.51520292e-06,1.50138648e-06,1.63745748e-06,1.3586166e-06,1.31423652e-06
"Domestic Extraction","Domestic Input","Sourcing","Availability","Other renewable energy","Renewables","#e78ac3","nrg_bal_sd","kt","EU27_2020",1.8798732e-07,1.800324e-07,1.7542692e-07,1.7291484e-07,1.4905008e-07,1.6495992e-07,1.716588e-07,1.716588e-07
"Domestic Input","Electricity and heat generation","Availability","Processing","Other renewable energy","Renewables","#e78ac3","nrg_bal_sd","kt","EU27_2020",1.8798732e-07,1.800324e-07,1.7542692e-07,1.7291484e-07,1.4905008e-07,1.6495992e-07,1.716588e-07,1.716588e-07
"Domestic Input","Material industry","Availability","Processing","Renewable heat","Renewables","#a6d854","nrg_bal_sd","kt","EU27_2020",1.03790772e-06,9.3491244e-07,8.3484792e-07,7.5111192e-07,2.2566852e-07,2.0682792e-07,1.9008072e-07,1.7124012e-07
"Electricity and heat generation","Residential housing and other energy","Processing","Services","Renewable heat","Renewables","#a6d854","nrg_bal_sd","kt","EU27_2020",4.322326716e-05,2.6722251e-05,2.34063054e-05,2.118395196e-05,1.803171024e-05,1.604214288e-05,1.397218896e-05,9.77785272e-06
"Domestic Input","Refinery, direct carry over and other","Availability","Processing","Renewable heat","Renewables","#a6d854","nrg_bal_sd","kt","EU27_2020",4.426117488e-05,2.765716344e-05,2.424115332e-05,2.193506388e-05,1.825779744e-05,1.62489708e-05,1.416226968e-05,9.94867416e-06
"Domestic Extraction","Domestic Input","Sourcing","Availability","Renewable heat","Renewables","#a6d854","nrg_bal_sd","kt","EU27_2020",4.542971076e-05,2.891948364e-05,2.562824016e-05,2.321957412e-05,1.945103544e-05,1.778427036e-05,1.555228728e-05,9.9583038e-06
"Domestic Input","Electricity and heat generation","Availability","Processing","Renewable heat","Renewables","#a6d854","nrg_bal_sd","kt","EU27_2020",7.9297992e-07,8.3777868e-07,9.5835852e-07,9.4914756e-07,7.2389772e-07,9.7301232e-07,8.5913136e-07,9.62964e-09
